time,global step,score
00h 10m 18s,1292180,-91.0
00h 10m 18s,1292879,-91.0
00h 10m 19s,1294058,-85.0
00h 10m 19s,1294062,-91.0
00h 10m 19s,1294611,-91.0
00h 10m 20s,1297118,-91.0
00h 10m 20s,1297570,-91.0
00h 10m 24s,1304256,-85.0
00h 10m 25s,1305997,-77.0
00h 10m 27s,1310304,-83.0
00h 10m 27s,1310653,-89.0
00h 10m 27s,1310980,-93.0
00h 10m 27s,1311371,-89.0
00h 10m 27s,1311697,-85.0
00h 10m 28s,1312753,-95.0
00h 10m 29s,1314746,-85.0
00h 10m 30s,1317264,-99.0
00h 10m 31s,1317907,-83.0
00h 10m 33s,1322640,-83.0
00h 10m 34s,1324411,-91.0
00h 10m 34s,1325714,-89.0
00h 10m 36s,1329467,-91.0
00h 10m 37s,1330014,-89.0
00h 10m 37s,1331113,-91.0
00h 10m 38s,1332082,-89.0
00h 10m 38s,1333869,-87.0
00h 10m 42s,1340516,-85.0
00h 10m 43s,1343768,-91.0
00h 10m 47s,1350806,-93.0
00h 10m 47s,1351070,-87.0
00h 10m 47s,1351113,-79.0
00h 10m 48s,1352602,-83.0
00h 10m 48s,1352710,-95.0
00h 10m 48s,1352789,-91.0
00h 10m 48s,1352926,-93.0
00h 10m 48s,1353790,-97.0
00h 10m 49s,1354265,-95.0
00h 10m 50s,1356245,-93.0
00h 10m 50s,1356904,-95.0
00h 10m 52s,1360769,-85.0
00h 10m 52s,1360915,-81.0
00h 10m 53s,1363641,-87.0
00h 10m 54s,1365844,-81.0
00h 10m 55s,1367430,-87.0
00h 10m 57s,1370833,-91.0
00h 10m 57s,1370979,-81.0
00h 10m 59s,1374223,-93.0
00h 10m 59s,1374395,-95.0
00h 11m 00s,1377422,-83.0
00h 11m 01s,1378527,-89.0
00h 11m 01s,1379003,-85.0
00h 11m 01s,1379007,-87.0
00h 11m 04s,1385040,-83.0
00h 11m 05s,1386255,-93.0
00h 11m 06s,1389519,-79.0
00h 11m 07s,1390154,-93.0
00h 11m 08s,1393483,-91.0
00h 11m 08s,1393833,-77.0
00h 11m 10s,1397170,-79.0
00h 11m 11s,1398174,-87.0
00h 11m 11s,1398651,-79.0
00h 11m 14s,1404396,-91.0
00h 11m 15s,1407056,-83.0
00h 11m 15s,1407322,-83.0
00h 11m 15s,1407876,-97.0
00h 11m 18s,1412223,-79.0
00h 11m 18s,1412788,-81.0
00h 11m 18s,1413038,-81.0
00h 11m 18s,1413339,-97.0
00h 11m 20s,1416172,-81.0
00h 11m 22s,1421156,-77.0
00h 11m 23s,1422382,-93.0
00h 11m 24s,1423731,-93.0
00h 11m 24s,1424992,-95.0
00h 11m 25s,1426071,-89.0
00h 11m 26s,1427768,-87.0
00h 11m 28s,1433250,-99.0
00h 11m 29s,1433831,-89.0
00h 11m 29s,1433868,-69.0
00h 11m 29s,1434299,-93.0
00h 11m 30s,1436590,-95.0
00h 11m 30s,1437249,-97.0
00h 11m 30s,1437433,-87.0
00h 11m 31s,1438802,-99.0
00h 11m 31s,1438981,-85.0
00h 11m 34s,1443768,-79.0
00h 11m 35s,1447443,-69.0
00h 11m 37s,1450411,-91.0
00h 11m 39s,1453934,-75.0
00h 11m 39s,1455779,-91.0
00h 11m 40s,1456268,-89.0
00h 11m 41s,1458932,-99.0
00h 11m 41s,1459397,-87.0
00h 11m 42s,1460392,-79.0
00h 11m 44s,1465414,-93.0
00h 11m 46s,1468677,-89.0
00h 11m 46s,1469463,-95.0
00h 11m 47s,1470112,-75.0
00h 11m 47s,1470427,-99.0
00h 11m 48s,1472184,-77.0
00h 11m 49s,1473787,-87.0
00h 11m 49s,1474030,-93.0
00h 11m 49s,1474102,-89.0
00h 11m 52s,1481190,-61.0
00h 11m 53s,1482232,-97.0
00h 11m 54s,1484586,-89.0
00h 11m 54s,1485030,-91.0
00h 11m 55s,1486897,-87.0
00h 11m 56s,1488316,-89.0
00h 11m 56s,1489348,-99.0
00h 11m 58s,1492619,-75.0
00h 11m 58s,1493621,-87.0
00h 11m 58s,1493747,-81.0
00h 12m 00s,1497064,-71.0
00h 12m 01s,1498429,-77.0
00h 12m 01s,1498903,-89.0
00h 12m 01s,1499094,-99.0
