time,global step,score
00h 00m 01s,16295,0.0
00h 00m 01s,16316,0.0
00h 00m 01s,16352,0.0
00h 00m 01s,16498,0.0
00h 00m 01s,16581,0.0
00h 00m 01s,16586,0.0
00h 00m 01s,16625,0.0
00h 00m 01s,16637,0.0
00h 00m 01s,16654,0.0
00h 00m 01s,16668,0.0
00h 00m 01s,16673,0.0
00h 00m 01s,16686,0.0
00h 00m 01s,16766,0.0
00h 00m 01s,16770,1.0
00h 00m 01s,16832,0.0
00h 00m 01s,16866,1.0
00h 00m 01s,16882,0.0
00h 00m 01s,16887,0.0
00h 00m 01s,16894,0.0
00h 00m 01s,16894,0.0
00h 00m 01s,16948,0.0
00h 00m 01s,16967,0.0
00h 00m 01s,16991,0.0
00h 00m 01s,17019,0.0
00h 00m 01s,17075,1.0
00h 00m 01s,17116,0.0
00h 00m 01s,17226,0.0
00h 00m 01s,17304,0.0
00h 00m 01s,17322,0.0
00h 00m 01s,17347,0.0
00h 00m 01s,17351,0.0
00h 00m 01s,17367,0.0
00h 00m 01s,17378,2.0
00h 00m 01s,17394,0.0
00h 00m 01s,17400,0.0
00h 00m 01s,17411,1.0
00h 00m 01s,17433,0.0
00h 00m 01s,17457,1.0
00h 00m 01s,17509,1.0
00h 00m 01s,17522,1.0
00h 00m 01s,17542,0.0
00h 00m 01s,17555,0.0
00h 00m 01s,17556,0.0
00h 00m 01s,17560,0.0
00h 00m 01s,17619,0.0
00h 00m 01s,17640,0.0
00h 00m 01s,17651,0.0
00h 00m 01s,17667,0.0
00h 00m 01s,17692,0.0
00h 00m 01s,17751,4.0
00h 00m 02s,17858,1.0
00h 00m 02s,17943,0.0
00h 00m 02s,17963,0.0
00h 00m 02s,17965,0.0
00h 00m 02s,17969,0.0
00h 00m 02s,17988,0.0
00h 00m 02s,18020,0.0
00h 00m 02s,18032,0.0
00h 00m 02s,18112,0.0
00h 00m 02s,18118,0.0
00h 00m 02s,18128,0.0
00h 00m 02s,18142,0.0
00h 00m 02s,18229,0.0
00h 00m 02s,18239,0.0
00h 00m 02s,18244,0.0
00h 00m 02s,18249,0.0
00h 00m 02s,18270,0.0
00h 00m 02s,18290,0.0
00h 00m 02s,18298,0.0
00h 00m 02s,18316,0.0
00h 00m 02s,18329,0.0
